No;Destination;Origin;Product;Year;dist_km;Euros
223;LU;BE;15;2008;139.5719386;11970121
224;BE;LU;15;2008;139.5719386;463331
225;LU;BE;16;2008;139.5719386;37863085
226;BE;LU;16;2008;139.5719386;2943018
227;LU;BE;17;2008;139.5719386;16688615
228;BE;LU;17;2008;139.5719386;391551
229;LU;BE;18;2008;139.5719386;29290260
230;BE;LU;18;2008;139.5719386;710334
231;LU;BE;19;2008;139.5719386;61671644
232;BE;LU;19;2008;139.5719386;9544099
233;LU;BE;20;2008;139.5719386;32489721
234;BE;LU;20;2008;139.5719386;1094712
389;LU;BE;1;2009;139.5719386;1288066
390;BE;LU;1;2009;139.5719386;13312044
391;LU;BE;2;2009;139.5719386;61196688
392;BE;LU;2;2009;139.5719386;3828928
393;LU;BE;3;2009;139.5719386;17774935
394;BE;LU;3;2009;139.5719386;4050339
395;LU;BE;4;2009;139.5719386;72584409
396;BE;LU;4;2009;139.5719386;10042534
397;LU;BE;5;2009;139.5719386;907668
398;BE;LU;5;2009;139.5719386;221493
399;LU;BE;6;2009;139.5719386;9060892
400;BE;LU;6;2009;139.5719386;78785
401;LU;BE;7;2009;139.5719386;36149657
402;BE;LU;7;2009;139.5719386;3129566
403;LU;BE;8;2009;139.5719386;35908034
404;BE;LU;8;2009;139.5719386;2016468
405;LU;BE;9;2009;139.5719386;15122085
406;BE;LU;9;2009;139.5719386;6150632
407;LU;BE;10;2009;139.5719386;7207526
408;BE;LU;10;2009;139.5719386;3941831
409;LU;BE;11;2009;139.5719386;3271008
410;BE;LU;11;2009;139.5719386;7260267
411;LU;BE;12;2009;139.5719386;1730926
412;BE;LU;12;2009;139.5719386;452203
413;LU;BE;13;2009;139.5719386;383174
414;BE;LU;13;2009;139.5719386;54512
415;LU;BE;14;2009;139.5719386;48679
416;BE;LU;14;2009;139.5719386;300386
417;LU;BE;15;2009;139.5719386;11308254
418;BE;LU;15;2009;139.5719386;441141
419;LU;BE;16;2009;139.5719386;39021524
420;BE;LU;16;2009;139.5719386;2245666
421;LU;BE;17;2009;139.5719386;16920840
422;BE;LU;17;2009;139.5719386;663365
423;LU;BE;18;2009;139.5719386;28956137
424;BE;LU;18;2009;139.5719386;712678
425;LU;BE;19;2009;139.5719386;62002000
426;BE;LU;19;2009;139.5719386;13972541
427;LU;BE;20;2009;139.5719386;32599361
428;BE;LU;20;2009;139.5719386;2746247
581;LU;BE;1;2010;139.5719386;1500180
582;BE;LU;1;2010;139.5719386;15240233
583;LU;BE;2;2010;139.5719386;62277524
584;BE;LU;2;2010;139.5719386;3686757
585;LU;BE;3;2010;139.5719386;19455008
586;BE;LU;3;2010;139.5719386;3784458
587;LU;BE;4;2010;139.5719386;73940937
588;BE;LU;4;2010;139.5719386;8931668
589;LU;BE;5;2010;139.5719386;1265288
590;BE;LU;5;2010;139.5719386;153696
591;LU;BE;6;2010;139.5719386;8864171
592;BE;LU;6;2010;139.5719386;120616
593;LU;BE;7;2010;139.5719386;39558388
594;BE;LU;7;2010;139.5719386;2496129
595;LU;BE;8;2010;139.5719386;38760588
596;BE;LU;8;2010;139.5719386;1520181
597;LU;BE;9;2010;139.5719386;16757215
598;BE;LU;9;2010;139.5719386;4553045
599;LU;BE;10;2010;139.5719386;4267268
600;BE;LU;10;2010;139.5719386;4948390
601;LU;BE;11;2010;139.5719386;3131385
602;BE;LU;11;2010;139.5719386;7130009
603;LU;BE;12;2010;139.5719386;1666712
604;BE;LU;12;2010;139.5719386;486143
605;LU;BE;13;2010;139.5719386;162272
606;BE;LU;13;2010;139.5719386;5176
607;LU;BE;14;2010;139.5719386;32764
608;BE;LU;14;2010;139.5719386;206557
609;LU;BE;15;2010;139.5719386;10984962
610;BE;LU;15;2010;139.5719386;1178751
611;LU;BE;16;2010;139.5719386;41463393
612;BE;LU;16;2010;139.5719386;3062794
613;LU;BE;17;2010;139.5719386;16570134
614;BE;LU;17;2010;139.5719386;540991
615;LU;BE;18;2010;139.5719386;32885046
616;BE;LU;18;2010;139.5719386;1089950
617;LU;BE;19;2010;139.5719386;62372109
618;BE;LU;19;2010;139.5719386;18296626
619;LU;BE;20;2010;139.5719386;29772354
620;BE;LU;20;2010;139.5719386;4634210
774;LU;BE;1;2011;139.5719386;2048621
775;BE;LU;1;2011;139.5719386;19937846
776;LU;BE;2;2011;139.5719386;67048839
777;BE;LU;2;2011;139.5719386;2957479
778;LU;BE;3;2011;139.5719386;20515536
779;BE;LU;3;2011;139.5719386;2872891
780;LU;BE;4;2011;139.5719386;77686095
781;BE;LU;4;2011;139.5719386;8989101
782;LU;BE;5;2011;139.5719386;914781
783;BE;LU;5;2011;139.5719386;338063
784;LU;BE;6;2011;139.5719386;9059690
785;BE;LU;6;2011;139.5719386;172383
786;LU;BE;7;2011;139.5719386;34386077
787;BE;LU;7;2011;139.5719386;2768584
788;LU;BE;8;2011;139.5719386;34168136
789;BE;LU;8;2011;139.5719386;2480174
790;LU;BE;9;2011;139.5719386;19617203
791;BE;LU;9;2011;139.5719386;6836247
792;LU;BE;10;2011;139.5719386;5642232
793;BE;LU;10;2011;139.5719386;3283538
794;LU;BE;11;2011;139.5719386;2515717
795;BE;LU;11;2011;139.5719386;9455626
796;LU;BE;12;2011;139.5719386;2016142
797;BE;LU;12;2011;139.5719386;556240
798;LU;BE;13;2011;139.5719386;155106
799;BE;LU;13;2011;139.5719386;25117
800;LU;BE;14;2011;139.5719386;31549
801;BE;LU;14;2011;139.5719386;55192
802;LU;BE;15;2011;139.5719386;11679466
803;BE;LU;15;2011;139.5719386;739985
804;LU;BE;16;2011;139.5719386;43884242
805;BE;LU;16;2011;139.5719386;3047792
806;LU;BE;17;2011;139.5719386;16925928
807;BE;LU;17;2011;139.5719386;417123
808;LU;BE;18;2011;139.5719386;33597082
809;BE;LU;18;2011;139.5719386;1030005
810;LU;BE;19;2011;139.5719386;65637973
811;BE;LU;19;2011;139.5719386;18633476
812;LU;BE;20;2011;139.5719386;31492694
813;BE;LU;20;2011;139.5719386;3400809
967;LU;BE;1;2012;139.5719386;1477416
968;BE;LU;1;2012;139.5719386;18699732
969;LU;BE;2;2012;139.5719386;67899145
970;BE;LU;2;2012;139.5719386;3304372
971;LU;BE;3;2012;139.5719386;22772968
972;BE;LU;3;2012;139.5719386;1933742
973;LU;BE;4;2012;139.5719386;70274687
974;BE;LU;4;2012;139.5719386;9962853
975;LU;BE;5;2012;139.5719386;648202
976;BE;LU;5;2012;139.5719386;765978
977;LU;BE;6;2012;139.5719386;8880234
978;BE;LU;6;2012;139.5719386;188310
979;LU;BE;7;2012;139.5719386;35589689
980;BE;LU;7;2012;139.5719386;2608480
981;LU;BE;8;2012;139.5719386;36728962
982;BE;LU;8;2012;139.5719386;3162382
983;LU;BE;9;2012;139.5719386;23030194
984;BE;LU;9;2012;139.5719386;6049869
985;LU;BE;10;2012;139.5719386;12135234
986;BE;LU;10;2012;139.5719386;4633988
987;LU;BE;11;2012;139.5719386;3292136
988;BE;LU;11;2012;139.5719386;12514855
989;LU;BE;12;2012;139.5719386;2191387
990;BE;LU;12;2012;139.5719386;417519
991;LU;BE;13;2012;139.5719386;137704
992;BE;LU;13;2012;139.5719386;38900
993;LU;BE;14;2012;139.5719386;254489
994;BE;LU;14;2012;139.5719386;796282
995;LU;BE;15;2012;139.5719386;12702032
996;BE;LU;15;2012;139.5719386;566508
997;LU;BE;16;2012;139.5719386;45354777
998;BE;LU;16;2012;139.5719386;2309673
999;LU;BE;17;2012;139.5719386;17565026
1000;BE;LU;17;2012;139.5719386;729975
1001;LU;BE;18;2012;139.5719386;35867554
1002;BE;LU;18;2012;139.5719386;1099063
1003;LU;BE;19;2012;139.5719386;65203268
1004;BE;LU;19;2012;139.5719386;19373127
1005;LU;BE;20;2012;139.5719386;32549754
1006;BE;LU;20;2012;139.5719386;3705246
1160;LU;BE;1;2013;139.5719386;1784794
1161;BE;LU;1;2013;139.5719386;14565263
1162;LU;BE;2;2013;139.5719386;70566315
1163;BE;LU;2;2013;139.5719386;5467694
1164;LU;BE;3;2013;139.5719386;24053652
1165;BE;LU;3;2013;139.5719386;1595990
1166;LU;BE;4;2013;139.5719386;71339771
1167;BE;LU;4;2013;139.5719386;11146408
1168;LU;BE;5;2013;139.5719386;569909
1169;BE;LU;5;2013;139.5719386;520275
1170;LU;BE;6;2013;139.5719386;9071441
1171;BE;LU;6;2013;139.5719386;185230
1172;LU;BE;7;2013;139.5719386;38326584
1173;BE;LU;7;2013;139.5719386;2029270
1174;LU;BE;8;2013;139.5719386;41192592
1175;BE;LU;8;2013;139.5719386;3126616
1176;LU;BE;9;2013;139.5719386;24521739
1177;BE;LU;9;2013;139.5719386;5620221
1178;LU;BE;10;2013;139.5719386;8397616
1179;BE;LU;10;2013;139.5719386;3908680
1180;LU;BE;11;2013;139.5719386;2763621
1181;BE;LU;11;2013;139.5719386;15043302
1182;LU;BE;12;2013;139.5719386;1786880
1183;BE;LU;12;2013;139.5719386;379857
1184;LU;BE;13;2013;139.5719386;146365
1185;BE;LU;13;2013;139.5719386;19036
1186;LU;BE;14;2013;139.5719386;144855
1187;BE;LU;14;2013;139.5719386;650310
1188;LU;BE;15;2013;139.5719386;14274947
1189;BE;LU;15;2013;139.5719386;507925
1190;LU;BE;16;2013;139.5719386;48416054
1191;BE;LU;16;2013;139.5719386;3710818
1192;LU;BE;17;2013;139.5719386;17319926
1193;BE;LU;17;2013;139.5719386;931498
1194;LU;BE;18;2013;139.5719386;36549441
1195;BE;LU;18;2013;139.5719386;4576695
1196;LU;BE;19;2013;139.5719386;69931239
1197;BE;LU;19;2013;139.5719386;18358477
1198;LU;BE;20;2013;139.5719386;35318267
1199;BE;LU;20;2013;139.5719386;1743882
1354;LU;BE;1;2014;139.5719386;4204273
1355;BE;LU;1;2014;139.5719386;15839770
1356;LU;BE;2;2014;139.5719386;72972761
1357;BE;LU;2;2014;139.5719386;5210606
1358;LU;BE;3;2014;139.5719386;26585613
1359;BE;LU;3;2014;139.5719386;873814
1360;LU;BE;4;2014;139.5719386;76658340
1361;BE;LU;4;2014;139.5719386;13749964
1362;LU;BE;5;2014;139.5719386;510718
1363;BE;LU;5;2014;139.5719386;445435
1364;LU;BE;6;2014;139.5719386;9227811
1365;BE;LU;6;2014;139.5719386;63424
1366;LU;BE;7;2014;139.5719386;36384157
1367;BE;LU;7;2014;139.5719386;2083308
1368;LU;BE;8;2014;139.5719386;39350722
1369;BE;LU;8;2014;139.5719386;3908178
1370;LU;BE;9;2014;139.5719386;22621695
1371;BE;LU;9;2014;139.5719386;5625438
1372;LU;BE;10;2014;139.5719386;11161199
1373;BE;LU;10;2014;139.5719386;2733963
1374;LU;BE;11;2014;139.5719386;2347875
1375;BE;LU;11;2014;139.5719386;12095861
1376;LU;BE;12;2014;139.5719386;1931356
1377;BE;LU;12;2014;139.5719386;2563908
1378;LU;BE;13;2014;139.5719386;106422
1379;BE;LU;13;2014;139.5719386;6671
1380;LU;BE;14;2014;139.5719386;140930
1381;BE;LU;14;2014;139.5719386;723996
1382;LU;BE;15;2014;139.5719386;12972514
1383;BE;LU;15;2014;139.5719386;765051
1384;LU;BE;16;2014;139.5719386;49894733
1385;BE;LU;16;2014;139.5719386;4648779
1386;LU;BE;17;2014;139.5719386;16259957
1387;BE;LU;17;2014;139.5719386;256964
1388;LU;BE;18;2014;139.5719386;36979695
1389;BE;LU;18;2014;139.5719386;2970224
1390;LU;BE;19;2014;139.5719386;74667647
1391;BE;LU;19;2014;139.5719386;14918290
1392;LU;BE;20;2014;139.5719386;38035725
1393;BE;LU;20;2014;139.5719386;1346247
1547;LU;BE;1;2015;139.5719386;3913670
1548;BE;LU;1;2015;139.5719386;15459804
1549;LU;BE;2;2015;139.5719386;75817946
1550;BE;LU;2;2015;139.5719386;4803508
1551;LU;BE;3;2015;139.5719386;27693128
1552;BE;LU;3;2015;139.5719386;833786
1553;LU;BE;4;2015;139.5719386;78825028
1554;BE;LU;4;2015;139.5719386;28507770
1555;LU;BE;5;2015;139.5719386;492751
1556;BE;LU;5;2015;139.5719386;115883
1557;LU;BE;6;2015;139.5719386;9463008
1558;BE;LU;6;2015;139.5719386;67074
1559;LU;BE;7;2015;139.5719386;40736903
1560;BE;LU;7;2015;139.5719386;944690
1561;LU;BE;8;2015;139.5719386;43219395
1562;BE;LU;8;2015;139.5719386;4744453
1563;LU;BE;9;2015;139.5719386;32841587
1564;BE;LU;9;2015;139.5719386;4949088
1565;LU;BE;10;2015;139.5719386;10830339
1566;BE;LU;10;2015;139.5719386;3379282
1567;LU;BE;11;2015;139.5719386;2361855
1568;BE;LU;11;2015;139.5719386;14256681
1569;LU;BE;12;2015;139.5719386;2856251
1570;BE;LU;12;2015;139.5719386;2224115
1571;LU;BE;13;2015;139.5719386;101704
1572;BE;LU;13;2015;139.5719386;5246
1573;LU;BE;14;2015;139.5719386;303753
1574;BE;LU;14;2015;139.5719386;490970
1575;LU;BE;15;2015;139.5719386;12316669
1576;BE;LU;15;2015;139.5719386;545286
1577;LU;BE;16;2015;139.5719386;48844637
1578;BE;LU;16;2015;139.5719386;5114067
1579;LU;BE;17;2015;139.5719386;14256221
1580;BE;LU;17;2015;139.5719386;2744018
1581;LU;BE;18;2015;139.5719386;36240085
1582;BE;LU;18;2015;139.5719386;3285541
1583;LU;BE;19;2015;139.5719386;75929466
1584;BE;LU;19;2015;139.5719386;16334953
1585;LU;BE;20;2015;139.5719386;36120425
1586;BE;LU;20;2015;139.5719386;4623011
1740;LU;BE;1;2016;139.5719386;3312437
1741;BE;LU;1;2016;139.5719386;13369210
1742;LU;BE;2;2016;139.5719386;78444610
1743;BE;LU;2;2016;139.5719386;6333364
1744;LU;BE;3;2016;139.5719386;30750246
1745;BE;LU;3;2016;139.5719386;934880
1746;LU;BE;4;2016;139.5719386;76718220
1747;BE;LU;4;2016;139.5719386;34376924
1748;LU;BE;5;2016;139.5719386;495079
1749;BE;LU;5;2016;139.5719386;84629
1750;LU;BE;6;2016;139.5719386;11696213
1751;BE;LU;6;2016;139.5719386;88877
1752;LU;BE;7;2016;139.5719386;43521416
1753;BE;LU;7;2016;139.5719386;2572304
1754;LU;BE;8;2016;139.5719386;46964702
1755;BE;LU;8;2016;139.5719386;4218337
1756;LU;BE;9;2016;139.5719386;29212871
1757;BE;LU;9;2016;139.5719386;5414984
1758;LU;BE;10;2016;139.5719386;9065150
1759;BE;LU;10;2016;139.5719386;2647782
1760;LU;BE;11;2016;139.5719386;1886825
1761;BE;LU;11;2016;139.5719386;13603625
1762;LU;BE;12;2016;139.5719386;2709623
1763;BE;LU;12;2016;139.5719386;483600
1764;LU;BE;13;2016;139.5719386;107475
1765;BE;LU;13;2016;139.5719386;11986
1766;LU;BE;14;2016;139.5719386;266712
1767;BE;LU;14;2016;139.5719386;358440
1768;LU;BE;15;2016;139.5719386;11452110
1769;BE;LU;15;2016;139.5719386;537075
1770;LU;BE;16;2016;139.5719386;47038018
1771;BE;LU;16;2016;139.5719386;5359662
1772;LU;BE;17;2016;139.5719386;13609789
1773;BE;LU;17;2016;139.5719386;4083589
1774;LU;BE;18;2016;139.5719386;34547691
1775;BE;LU;18;2016;139.5719386;1640251
1776;LU;BE;19;2016;139.5719386;73427054
1777;BE;LU;19;2016;139.5719386;17791281
1778;LU;BE;20;2016;139.5719386;33912318
1779;BE;LU;20;2016;139.5719386;4786649
1932;NL;BE;1;2007;194.1380184;132223381
1933;BE;NL;1;2007;194.1380184;257527175
1934;NL;BE;2;2007;194.1380184;443540369
1935;BE;NL;2;2007;194.1380184;219281798
1936;NL;BE;3;2007;194.1380184;144440271
1937;BE;NL;3;2007;194.1380184;268049602
1938;NL;BE;4;2007;194.1380184;415385948
1939;BE;NL;4;2007;194.1380184;739078166
1940;NL;BE;5;2007;194.1380184;8029158
1941;BE;NL;5;2007;194.1380184;12687421
1942;NL;BE;6;2007;194.1380184;117304135
1943;BE;NL;6;2007;194.1380184;255847575
1944;NL;BE;7;2007;194.1380184;286030286
1945;BE;NL;7;2007;194.1380184;413720984
1946;NL;BE;8;2007;194.1380184;300298361
1947;BE;NL;8;2007;194.1380184;251340196
1948;NL;BE;9;2007;194.1380184;74412495
1949;BE;NL;9;2007;194.1380184;56897913
1950;NL;BE;10;2007;194.1380184;185431464
1951;BE;NL;10;2007;194.1380184;70247141
1952;NL;BE;11;2007;194.1380184;111240516
1953;BE;NL;11;2007;194.1380184;116671069
1954;NL;BE;12;2007;194.1380184;98350214
1955;BE;NL;12;2007;194.1380184;116269582
1956;NL;BE;13;2007;194.1380184;6743982
1957;BE;NL;13;2007;194.1380184;5153361
1958;NL;BE;14;2007;194.1380184;1920137
1959;BE;NL;14;2007;194.1380184;1512543
1960;NL;BE;15;2007;194.1380184;262249932
1961;BE;NL;15;2007;194.1380184;592850782
1962;NL;BE;16;2007;194.1380184;207296798
1963;BE;NL;16;2007;194.1380184;188973706
1964;NL;BE;17;2007;194.1380184;193988218
1965;BE;NL;17;2007;194.1380184;148386339
1966;NL;BE;18;2007;194.1380184;208774007
1967;BE;NL;18;2007;194.1380184;322171527
1968;NL;BE;19;2007;194.1380184;306840066
1969;BE;NL;19;2007;194.1380184;226763513
1970;NL;BE;20;2007;194.1380184;191686643
1971;BE;NL;20;2007;194.1380184;178013760
2126;NL;BE;1;2008;194.1380184;163156798
2127;BE;NL;1;2008;194.1380184;269521412
2128;NL;BE;2;2008;194.1380184;493102759
2129;BE;NL;2;2008;194.1380184;244533631
2130;NL;BE;3;2008;194.1380184;134173979
2131;BE;NL;3;2008;194.1380184;274155798
2132;NL;BE;4;2008;194.1380184;414434285
2133;BE;NL;4;2008;194.1380184;792462304
2134;NL;BE;5;2008;194.1380184;8919364
2135;BE;NL;5;2008;194.1380184;19536804
2136;NL;BE;6;2008;194.1380184;124745825
2137;BE;NL;6;2008;194.1380184;261136196
2138;NL;BE;7;2008;194.1380184;269638891
2139;BE;NL;7;2008;194.1380184;420882533
2140;NL;BE;8;2008;194.1380184;339646824
2141;BE;NL;8;2008;194.1380184;229732927
2142;NL;BE;9;2008;194.1380184;105948835
2143;BE;NL;9;2008;194.1380184;50713299
2144;NL;BE;10;2008;194.1380184;249657397
2145;BE;NL;10;2008;194.1380184;117520137
2146;NL;BE;11;2008;194.1380184;148831222
2147;BE;NL;11;2008;194.1380184;133403942
2148;NL;BE;12;2008;194.1380184;94407641
2149;BE;NL;12;2008;194.1380184;135359160
2150;NL;BE;13;2008;194.1380184;6060467
2151;BE;NL;13;2008;194.1380184;6778090
2152;NL;BE;14;2008;194.1380184;1013924
2153;BE;NL;14;2008;194.1380184;2277319
2154;NL;BE;15;2008;194.1380184;323475628
2155;BE;NL;15;2008;194.1380184;984785769
2156;NL;BE;16;2008;194.1380184;201295971
2157;BE;NL;16;2008;194.1380184;199359512
2158;NL;BE;17;2008;194.1380184;188584812
2159;BE;NL;17;2008;194.1380184;156129788
2160;NL;BE;18;2008;194.1380184;226627982
2161;BE;NL;18;2008;194.1380184;333758426
2162;NL;BE;19;2008;194.1380184;381377229
2163;BE;NL;19;2008;194.1380184;258199725
2164;NL;BE;20;2008;194.1380184;233298421
2165;BE;NL;20;2008;194.1380184;196917723
2320;NL;BE;1;2009;194.1380184;177409220
2321;BE;NL;1;2009;194.1380184;301332753
2322;NL;BE;2;2009;194.1380184;460136454
2323;BE;NL;2;2009;194.1380184;249849470
2324;NL;BE;3;2009;194.1380184;161399503
2325;BE;NL;3;2009;194.1380184;261097311
2326;NL;BE;4;2009;194.1380184;393802493
2327;BE;NL;4;2009;194.1380184;704246869
2328;NL;BE;5;2009;194.1380184;14088545
2329;BE;NL;5;2009;194.1380184;19808707
2330;NL;BE;6;2009;194.1380184;145221421
2331;BE;NL;6;2009;194.1380184;265049885
2332;NL;BE;7;2009;194.1380184;247743885
2333;BE;NL;7;2009;194.1380184;387364215
2334;NL;BE;8;2009;194.1380184;293190015
2335;BE;NL;8;2009;194.1380184;217996776
2336;NL;BE;9;2009;194.1380184;131890702
2337;BE;NL;9;2009;194.1380184;51221117
2338;NL;BE;10;2009;194.1380184;124811525
2339;BE;NL;10;2009;194.1380184;124937474
2340;NL;BE;11;2009;194.1380184;156035311
2341;BE;NL;11;2009;194.1380184;103920398
2342;NL;BE;12;2009;194.1380184;63866383
2343;BE;NL;12;2009;194.1380184;147648048
2344;NL;BE;13;2009;194.1380184;11370557
2345;BE;NL;13;2009;194.1380184;4931536
2346;NL;BE;14;2009;194.1380184;590366
2347;BE;NL;14;2009;194.1380184;2472887
2348;NL;BE;15;2009;194.1380184;277488789
2349;BE;NL;15;2009;194.1380184;712265406
2350;NL;BE;16;2009;194.1380184;216372126
2351;BE;NL;16;2009;194.1380184;201414852
2352;NL;BE;17;2009;194.1380184;181922024
2353;BE;NL;17;2009;194.1380184;153305491
2354;NL;BE;18;2009;194.1380184;215119279
2355;BE;NL;18;2009;194.1380184;292048318
2356;NL;BE;19;2009;194.1380184;414860136
2357;BE;NL;19;2009;194.1380184;263788503
2358;NL;BE;20;2009;194.1380184;324956201
2359;BE;NL;20;2009;194.1380184;202352190
2514;NL;BE;1;2010;194.1380184;165143639
2515;BE;NL;1;2010;194.1380184;335730682
2516;NL;BE;2;2010;194.1380184;529160794
2517;BE;NL;2;2010;194.1380184;265970036
2518;NL;BE;3;2010;194.1380184;139976658
2519;BE;NL;3;2010;194.1380184;252185713
2520;NL;BE;4;2010;194.1380184;452771428
2521;BE;NL;4;2010;194.1380184;813456317
2522;NL;BE;5;2010;194.1380184;40035021
2523;BE;NL;5;2010;194.1380184;18219977
2524;NL;BE;6;2010;194.1380184;152094223
2525;BE;NL;6;2010;194.1380184;250642696
2526;NL;BE;7;2010;194.1380184;297467405
2527;BE;NL;7;2010;194.1380184;436414531
2528;NL;BE;8;2010;194.1380184;313545820
2529;BE;NL;8;2010;194.1380184;241416593
2530;NL;BE;9;2010;194.1380184;157259369
2531;BE;NL;9;2010;194.1380184;58937214
2532;NL;BE;10;2010;194.1380184;139958302
2533;BE;NL;10;2010;194.1380184;119672621
2534;NL;BE;11;2010;194.1380184;171081926
2535;BE;NL;11;2010;194.1380184;81329023
2536;NL;BE;12;2010;194.1380184;74827170
2537;BE;NL;12;2010;194.1380184;185395566
2538;NL;BE;13;2010;194.1380184;10199880
2539;BE;NL;13;2010;194.1380184;5860355
2540;NL;BE;14;2010;194.1380184;1004448
2541;BE;NL;14;2010;194.1380184;1409641
2542;NL;BE;15;2010;194.1380184;252493240
2543;BE;NL;15;2010;194.1380184;720127972
2544;NL;BE;16;2010;194.1380184;267774533
2545;BE;NL;16;2010;194.1380184;205414697
2546;NL;BE;17;2010;194.1380184;172654834
2547;BE;NL;17;2010;194.1380184;156258300
2548;NL;BE;18;2010;194.1380184;234601930
2549;BE;NL;18;2010;194.1380184;327542676
2550;NL;BE;19;2010;194.1380184;407899875
2551;BE;NL;19;2010;194.1380184;255492412
2552;NL;BE;20;2010;194.1380184;328676775
2553;BE;NL;20;2010;194.1380184;225921709
2708;NL;BE;1;2011;194.1380184;202506148
2709;BE;NL;1;2011;194.1380184;338501524
2710;NL;BE;2;2011;194.1380184;553158254
2711;BE;NL;2;2011;194.1380184;328180497
2712;NL;BE;3;2011;194.1380184;142275308
2713;BE;NL;3;2011;194.1380184;289537402
2714;NL;BE;4;2011;194.1380184;547151296
2715;BE;NL;4;2011;194.1380184;975798739
2716;NL;BE;5;2011;194.1380184;13874143
2717;BE;NL;5;2011;194.1380184;26965198
2718;NL;BE;6;2011;194.1380184;164362626
2719;BE;NL;6;2011;194.1380184;256667422
2720;NL;BE;7;2011;194.1380184;283686696
2721;BE;NL;7;2011;194.1380184;462905733
2722;NL;BE;8;2011;194.1380184;333825085
2723;BE;NL;8;2011;194.1380184;256462525
2724;NL;BE;9;2011;194.1380184;190882347
2725;BE;NL;9;2011;194.1380184;77306124
2726;NL;BE;10;2011;194.1380184;167615186
2727;BE;NL;10;2011;194.1380184;156355932
2728;NL;BE;11;2011;194.1380184;226569303
2729;BE;NL;11;2011;194.1380184;101804100
2730;NL;BE;12;2011;194.1380184;97183934
2731;BE;NL;12;2011;194.1380184;188447783
2732;NL;BE;13;2011;194.1380184;7713525
2733;BE;NL;13;2011;194.1380184;5905736
2734;NL;BE;14;2011;194.1380184;432973
2735;BE;NL;14;2011;194.1380184;1965153
2736;NL;BE;15;2011;194.1380184;444297671
2737;BE;NL;15;2011;194.1380184;1076053961
2738;NL;BE;16;2011;194.1380184;282057184
2739;BE;NL;16;2011;194.1380184;234611028
2740;NL;BE;17;2011;194.1380184;213347503
2741;BE;NL;17;2011;194.1380184;166213614
2742;NL;BE;18;2011;194.1380184;279092473
